https://xapi.com/adopt-learning-techology-product/,How will xAPI improve my learning product? - Experience API
https://xapi.com/building-a-learning-record-store/,Building a Learning Record Store - Experience API
https://xapi.com/developer-overview/#statements,Developer Overview - Experience API
https://xapi.com/get-lrs/,Get an LRS - Experience API
https://nodejs.org/en/docs/guides/backpressuring-in-streams/,Backpressuring in Streams | Node.js
https://blog.halolabs.io/building-ar-vr-with-javascript-and-html-97af4434bcf6,Building AR/VR with Javascript and HTML – Halo Labs
https://hacks.mozilla.org/2019/02/webvr-starter-kit-mozilla-glitch/,Anyone can create a virtual reality experience with this new WebVR starter kit from Mozilla and Glitch - Mozilla Hacks - the Web developer blog
https://github.com/the-expanse/SideQuest,"GitHub - the-expanse/SideQuest: A open app store for mobile android based VR devices such as the Oculus Go, Oculus Quest or even the Moverio BT 300 ( IKR? )"
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.705.7118&rep=rep1&type=pdf,extrinsic rewards on intrinsic motivation
https://harelba.github.io/q/examples.html#example7,Examples
https://scrimba.com/,Scrimba
https://www.datazar.com/explore/,Explore Datazar
https://mlinproduction.com/,ML in Production – Tips to build and deploy real world ML systems
https://www.concise-courses.com/hacking-tools/top-ten/,"Hacker Tools (Our 2019 List) Nmap, Sn1per, Wireshark, Metasploit, Hydra"
https://www.owasp.org/index.php/OWASP_Zed_Attack_Proxy_Project,OWASP Zed Attack Proxy Project - OWASP
https://blog.revolutionanalytics.com/2018/08/chartmaker-directory.html,The Chartmaker Directory: Data visualizations in every tool (Revolutions)
https://codepen.io/ge1doot/pen/GQobbq,this alter world
file:///Users/annhoward/Downloads/Unbound-2e-web-v1-1-d9jueb.pdf,Unbound Test Layout
https://www.alltechconferences.com/,All Tech Conferences | Discover 2022 & 2023 Tech Events Worldwide!
"https://conferences.ieee.org/conferences_events/conferences/search?q=*&subsequent_q=&date=%5B%272023-06-22T00:00:00Z%27,%272023-07-22T00:00:00Z%27%5D&from=&to=®ion=all&country=USA&pos=0&sortorder=desc&sponsor=&sponsor_type=all&state=all&field_of_interest=all&sortfield=relevance&searchmode=basic&virtualConfReadOnly=N&eventformat=",Conferences Search
https://medium.com/dev-interrupted/the-best-developer-conferences-for-every-developer-3c35d7705d0a,The Best Developer Conferences For Every Developer | by Dev Interrupted | Dev Interrupted | Medium
https://app.multion.ai/profile,User profile | MultiOn
chrome-extension://chphlpgkkbolifaimnlloiipkdnihall/onetab.html,OneTab
https://pro.explodinginsights.com/,pro.explodinginsights.com
https://catalant.com/,Catalant | Flexible consulting services on demand
https://medium.com/@fabio.matricardi/run-gptq-ggml-gguf-on-apple-silicon-f116bceb6ebc,"Run GPTQ, GGML, GGUF… on Apple Silicon? | by Fabio Matricardi | Medium"
https://gpuopen.com/brotli-g-sdk-announce/,Brotli-G: An open-source compression/decompression standard for digital assets that is compatible with GPU hardware    - AMD GPUOpen
https://platform.openai.com/docs/assistants/whats-new,What's new in the Assistants API - OpenAI API
https://app.multion.ai/beta,MultiOn
https://www.getpy.com/discovery,Py for Work - Coding Challenges to Screen Software Engineers
https://gyrosco.pe/welcome/,Ann Howard
https://www.udemy.com/docker-mastery/learn/v4/overview,Docker Mastery: The Complete Toolset From a Docker Captain | Udemy
http://ieeexplore.ieee.org/document/4287269/?part=1,Guest Editors' Introduction: Intelligent Educational Systems of the Present and Future - IEEE Journals & Magazine
https://medium.com/@cryptoeconomics/the-blockchain-economy-a-beginners-guide-to-institutional-cryptoeconomics-64bf2f2beec4,The Blockchain Economy: A beginner’s guide to institutional cryptoeconomics
https://docs.google.com/document/d/17DV6UNTEEubrVcQ-c4PAiQsObkqPHJ9Hf-pXq13OROo/edit?ts=5a318f4a,Adaptive Learning - Course Sequencing - Google Docs
https://medium.com/@wrong.about/wrong-ways-of-defining-service-boundaries-d9e313007bcc,Wrong Ways of Defining Service Boundaries – Wrong About Everything – Medium
http://queue.acm.org/detail.cfm?id=3178371,Monitoring in a DevOps World - ACM Queue
